Project,Client,Description,Duration
SOS2122-27,,#11 Actualización última versión del repositorio en heroku,03:02:20
SOS2122-27,,#12 Investigación para la implementación de métodos.,00:22:09
SOS2122-27,,#16 Despligue de API en Heroku,01:39:00
SOS2122-27,,#17 Configuración de la vista en la ruta /#/info,00:17:15
SOS2122-27,,#18 Configuración de la vista en la ruta /#/info (GRUPAL),00:14:08
SOS2122-27,,#19 Front-end Svelte [DebtStats] / Edición de un recurso,03:08:00
SOS2122-27,,#2 Clonar repositorio,00:23:19
SOS2122-27,,#2 Tarea2,00:01:00
SOS2122-27,,#20 Creación de gráfica de área,04:46:49
SOS2122-27,,#21 Creación SmiGraph,07:32:28
SOS2122-27,,#22 Implementación gráfica Highchart,01:16:00
SOS2122-27,,#23 Integración de Debt Stats API en la gráfica conjunta,00:46:00
SOS2122-27,,#24 Uso API compañeros SMI,03:12:06
SOS2122-27,,#25 Uso API Externas en SMI,04:02:22
SOS2122-27,,#26 Integración API de compañero,00:52:11
SOS2122-27,,#27 Uso de API de compañero y proxy propio,00:45:00
SOS2122-27,,#28 Uso de API externa con proxy propio,01:09:00
SOS2122-27,,#29 Grabación de vídeo,00:27:04
SOS2122-27,,#3 Creación Toggl Workspace,00:19:00
SOS2122-27,,#4 Completar la hora de grupo,00:15:17
SOS2122-27,,#5 Creación index.html grupal,00:26:54
SOS2122-27,,#6 Despliegue de proyecto en Heroku,02:56:13
SOS2122-27,,#7 Creación de ruta dinámica /cool,03:03:54
SOS2122-27,,#8 Creación del proyecto,00:46:39
SOS2122-27,,#9 Creación del documento en Google Docs,03:07:29
SOS2122-27,,Arreglar paginación,04:18:11
SOS2122-27,,Creación de métodos y errores,03:00:40
SOS2122-27,,Especificación de las operaciones,00:47:56
SOS2122-27,,Gráfica plotly,03:14:31
SOS2122-27,,Implementación de la API,04:59:12
SOS2122-27,,Integracion del covid,02:13:37
SOS2122-27,,Integraciones con compañeros,04:43:45
SOS2122-27,,Investigando Plotly,02:55:34
SOS2122-27,,Investigando proxys,02:44:56
SOS2122-27,,Modificación gráficas,01:42:25
SOS2122-27,,Prueba,00:00:07
,,Prueba 2,00:00:06
